X,Y,recordID,species,year,eventDate,countryCode,stateProvince,locality,dataset
-54.45437,-25.67713,699208653,Herpailurus yagouaroundi,2000,2000/02/01 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Sendero Yacarati&aacute;. Entrada<br />&nbsp;</p>",occurrencePoints_GBIF
-54.47478,-25.68947,699208658,Herpailurus yagouaroundi,2000,2000/02/09 00:00:00+00,AR,Misiones,"<p>Cantera. Cerca cruce RN N&deg;101 y ruta acceso Area Cataratas<br />&nbsp;</p>",occurrencePoints_GBIF
-54.46441,-25.68823,699208657,Herpailurus yagouaroundi,2000,2000/05/22 00:00:00+00,AR,Misiones,"<p>Cantera. Acceso a Area Cataratas, entre casilla de control y ex-cantera<br />&nbsp;</p>",occurrencePoints_GBIF
-54.44968,-25.67817,699208625,Herpailurus yagouaroundi,2000,2000/06/01 00:00:00+00,AR,Misiones,"<p>PNI. Area Cataratas. CIES entrada<br />&nbsp;</p><p>&nbsp;</p>",occurrencePoints_GBIF
-54.44631,-25.69752,699208617,Herpailurus yagouaroundi,2000,2000/10/06 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Camino a Puerto Canoas, 500 m despu&eacute;s de toma de agua.<br />&nbsp;</p>",occurrencePoints_GBIF
-54.44986,-25.67921,699208667,Herpailurus yagouaroundi,2000,2000/11/24 00:00:00+00,AR,Misiones,"<p>Ruta asfaltada acceso a Area Cataratas, frente a CIES <br />&nbsp;</p>",occurrencePoints_GBIF
-54.45895,-25.69003,699208669,Herpailurus yagouaroundi,2000,2000/12/01 00:00:00+00,AR,Misiones,"<p>Ruta de Acceso Area Cataratas, cerca de entrada a nuevo control<br />&nbsp;</p>",occurrencePoints_GBIF
-54.44183,-25.70932,699208686,Herpailurus yagouaroundi,2001,2001/02/19 00:00:00+00,AR,Misiones,"<p>Ex-ruta 12<br />&nbsp;</p>",occurrencePoints_GBIF
-54.44741,-25.69337,699208619,Herpailurus yagouaroundi,2001,2001/04/25 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Camino a Puerto Canoas <br />&nbsp;</p>",occurrencePoints_GBIF
-54.44136,-25.71396,699208673,Herpailurus yagouaroundi,2001,2001/05/31 00:00:00+00,AR,Misiones,"<p>Ruta Nacional 12 vieja (camino acceso garganta) 50 metros del port&oacute;n <br />&nbsp;</p>",occurrencePoints_GBIF
-54.43995,-25.71453,699208659,Herpailurus yagouaroundi,2001,2001/07/07 00:00:00+00,AR,Misiones,"<p>Cruzando RN N&ordm; 101. Aproximadamente a 120 metros del acceso a garganta<br /><br />&nbsp;</p>",occurrencePoints_GBIF
-54.45582,-25.68703,699208634,Herpailurus yagouaroundi,2001,2001/08/23 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Control UTE<br />&nbsp;</p>",occurrencePoints_GBIF
-52.67803,4.03546,2475200648,Herpailurus yagouaroundi,2001,2001/09/20 00:00:00+00,GF,,,occurrencePoints_GBIF
-54.44453,-25.68314,699208647,Herpailurus yagouaroundi,2001,2001/12/11 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Paseo inferior. Bar<br />&nbsp;</p>",occurrencePoints_GBIF
-54.45129,-25.67797,699208668,Herpailurus yagouaroundi,2001,2001/12/17 00:00:00+00,AR,Misiones,"<p>Ruta de acceso Area Cataratas, 200 m antes acceso Laboratorio CIES<br />&nbsp;</p>",occurrencePoints_GBIF
-54.44746,-25.69309,699208618,Herpailurus yagouaroundi,2002,2002/03/06 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Camino a Puerto Canoas, en cercan&iacute;as de la toma de agua<br />&nbsp;</p>",occurrencePoints_GBIF
-54.44756,-25.68414,699208621,Herpailurus yagouaroundi,2002,2002/03/16 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Centro Operativo Cataratas <br />&nbsp;</p>",occurrencePoints_GBIF
-54.47802,-25.69073,699208660,Herpailurus yagouaroundi,2002,2002/06/03 00:00:00+00,AR,Misiones,"<p>RN N&ordm; 101. Cruce acceso &Aacute;rea Cataratas y RN N&deg;101<br />&nbsp;</p><p>&nbsp;</p>",occurrencePoints_GBIF
-54.44556,-25.68316,699208648,Herpailurus yagouaroundi,2002,2002/06/16 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Paseo Inferior. Ingreso<br />&nbsp;</p>",occurrencePoints_GBIF
-54.44721,-25.67973,699208646,Herpailurus yagouaroundi,2002,2002/06/26 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Hotel Sheraton. Entre playa estacionamiento y curva<br />&nbsp;</p>",occurrencePoints_GBIF
-54.44771,-25.67885,699208624,Herpailurus yagouaroundi,2002,2002/06/27 00:00:00+00,AR,Misiones,"<p>Area Cataratas. CIES. Curva yendo hacia Hotel Sheraton<br />&nbsp;</p>",occurrencePoints_GBIF
-53.24865,4.67709,3310388945,Herpailurus yagouaroundi,2003,2003/01/01 00:00:00+00,GF,Guyane française,,occurrencePoints_GBIF
-54.44666,-25.68363,699208654,Herpailurus yagouaroundi,2003,2003/04/04 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Viejo Hotel Cataratas. Entre Viejo Hotel Cataratas y la Estaci&oacute;n Central<br />&nbsp;</p>",occurrencePoints_GBIF
-54.46718,-25.68837,699208651,Herpailurus yagouaroundi,2003,2003/04/23 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Ruta de Acceso Area Cataratas. En ruta de acceso al Area Cataratas<br />&nbsp;</p>",occurrencePoints_GBIF
-58.022,-28.01437,233872747,Herpailurus yagouaroundi,2003,2003/05/02 00:00:00+00,AR,Corrientes,<p>Seccional D'Orbigny</p>,occurrencePoints_GBIF
-54.44771,-25.67885,699208644,Herpailurus yagouaroundi,2003,2003/05/03 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Hotel Sheraton. Curva en frente al Sheraton<br />&nbsp;</p>",occurrencePoints_GBIF
-54.45381,-25.67871,699208642,Herpailurus yagouaroundi,2003,2003/05/03 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Estaci&oacute;n Central. Pasando, en galp&oacute;n de la UTE<br />&nbsp;</p>",occurrencePoints_GBIF
-58.00761,-28.00802,233872748,Herpailurus yagouaroundi,2003,2003/06/06 00:00:00+00,AR,Corrientes,<p>Ruta 86 y Potrero 6</p>,occurrencePoints_GBIF
-58.00761,-28.00802,233872749,Herpailurus yagouaroundi,2003,2003/06/07 00:00:00+00,AR,Corrientes,<p>Ruta 86 y Potrero 6</p>,occurrencePoints_GBIF
-54.46718,-25.68837,699208652,Herpailurus yagouaroundi,2003,2003/06/12 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Ruta de Acceso Area Cataratas <br />&nbsp;</p>",occurrencePoints_GBIF
-54.44584,-25.68094,699208645,Herpailurus yagouaroundi,2003,2003/06/12 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Hotel Sheraton. En sector parquizado<br />&nbsp;</p>",occurrencePoints_GBIF
-54.50073,-25.66061,699208679,Herpailurus yagouaroundi,2003,2003/06/29 00:00:00+00,AR,Misiones,"<p>Sendero Yacarati&aacute;. Inicio<br />&nbsp;</p>",occurrencePoints_GBIF
-54.45696,-25.67913,699208610,Herpailurus yagouaroundi,2003,2003/07/18 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Barrio de Guardaparques. Camino que sube a planta potabilizadora<br />&nbsp;</p>",occurrencePoints_GBIF
-54.27101,-25.67337,699208664,Herpailurus yagouaroundi,2003,2003/07/30 00:00:00+00,AR,Misiones,"<p>RN N&ordm; 101. Arroyo Santo Domingo. En las proximidades del arroyo<br />&nbsp;</p>",occurrencePoints_GBIF
-58.06419,-28.02342,233872750,Herpailurus yagouaroundi,2003,2003/08/08 00:00:00+00,AR,Corrientes,<p>Ruta 86 (pastizal)</p><br>,occurrencePoints_GBIF
-54.46267,-25.71214,699208666,Herpailurus yagouaroundi,2003,2003/09/05 00:00:00+00,AR,Misiones,"<p>RN N&ordm; 101. Cruce acceso Area Cataratas y Acceso Aeropuerto Internacional Cataratas. Entre Acceso &Aacute;rea Cataratas y Acceso a Aeropuerto<br />&nbsp;</p>",occurrencePoints_GBIF
-54.45381,-25.67871,699208641,Herpailurus yagouaroundi,2003,2003/09/09 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Estaci&oacute;n Central. Galp&oacute;n de alistamiento UTE<br />&nbsp;</p>",occurrencePoints_GBIF
-58.022,-28.01437,233872751,Herpailurus yagouaroundi,2003,2003/09/17 00:00:00+00,AR,Corrientes,<p>Seccional D'Orbigny</p>,occurrencePoints_GBIF
-54.44919,-25.68368,699208637,Herpailurus yagouaroundi,2003,2003/11/09 00:00:00+00,AR,Misiones,"<p>Area Cataratas. Estaci&oacute;n Cataratas <br />&nbsp;</p>",occurrencePoints_GBIF
