env,range.x,iqr.x,data.x,range.y,iqr.y,data.y
bio_1,27.972748947143554,483.5,PA,27.797090530395508,483.5,PO
bio_2,29.357241659528835,5.688188826233283,PA,32.53167724609375,5.688188826233283,PO
bio_3,27.49981346130371,4.234282508890896,PA,27.235029220581055,4.234282508890896,PO
bio_4,3949.1476090290703,7.009025208462202,PA,6400.93017578125,7.009025208462202,PO
bio_5,525.3451146771831,428.91006783228045,PA,720.78448486328125,428.91006783228045,PO
bio_6,242.28964321889848,92.43214173783039,PA,340.6001281738281,92.43214173783039,PO
bio_7,170.52746073404947,39.757709271843375,PA,154.1050567626953,39.757709271843375,PO
bio_8,1422.2545047883063,28.918788599561466,PA,1997.0322265625,28.918788599561466,PO
bio_9,745.3891281080097,251.65540187257454,PA,1207.5487060546875,251.65540187257454,PO
bio_10,1039.3475850675597,140.43272475692146,PA,1463.8673095703125,140.43272475692146,PO
bio_11,1229.4060016273017,224.89068603515625,PA,1820.8958740234375,224.89068603515625,PO
bio_12,17.894797801971436,215.1307086996901,PA,19.22255516052246,215.1307086996901,PO
bio_13,89.97658355878332,2.2202955804474858,PA,91.201019287109375,2.2202955804474858,PO
bio_14,618.7925480509299,7.851201635178697,PA,860.9837646484375,7.851201635178697,PO
bio_15,37.80105495452881,131.56315665156518,PA,41.96554183959961,131.56315665156518,PO
bio_16,22.600000381469727,4.092035975167537,PA,22.76982879638672,4.092035975167537,PO
bio_17,32.44791345035328,6.815515637298073,PA,39.095062255859375,6.815515637298073,PO
bio_18,28.755032314860845,2.6439735514777016,PA,31.390382766723633,2.6439735514777016,PO
bio_19,29.010827328130006,3.9450943421149667,PA,28.786203384399414,3.9450943421149667,PO
elev,4867.70556640625,6.683174463467374,PA,4462.5380859375,6.683174463467374,PO
urban,0.9304160475730896,624.5247101171055,PA,0.20410388708114624,624.5247101171055,PO
barren,1,0,PA,0.9994779229164124,0,PO
water,1,0,PA,0.4657885730266571,0,PO
savanna,1,0,PA,0.9451844096183777,0,PO
woodysavanna,1,0.521616692163802,PA,0.8848116397857666,0.521616692163802,PO
wetland,0.9977256506681442,0.028972016345159356,PA,0.41376355290412903,0.028972016345159356,PO
grass,1,0,PA,0.982059121131897,0,PO
npp,21085.28976004464,0.31187354421063546,PA,17393.4453125,0.31187354421063546,PO
tree,200,5985.579167385127,PA,111.98986053466797,5985.579167385127,PO
nontree,200,43.59143400192261,PA,124.83846282958984,43.59143400192261,PO
nonveg,200,32.056272519654776,PA,97.01580047607422,32.056272519654776,PO
